processed_text,target_label
trist finne begreper snikislamisering styre debatten,1
sier mannen måneder uttalte innføre sharialån muslimer norge,1
frps sterkeste kort valgkampen,1
ang snikislamisering vidt vet ord siv jensen introdusert brukt droppet juli kontrolleres retriever selve ordet altså ikke brukt mye terroren enig kritikken selve islam ikke mindre,1
awais aslam nok gang bruker forsvarer landets finansminister veletablerte konseptet skjult islamisering begrepet rot virkeligheten egnet spre frykt sinne fordommer blant folket,1
jon helgheim sier frp snakker snikislamisering angripe sosialistene feministene ikke muslimer bruker argument breivik angrep ap auf stoppe islamiseringen,1
generasjon oppfører mer islamsk første understreker eneste fornuftige deportere dit hører hjemme trives,0
ikke snill forklare snusk islamisering komme konkrete eksempler forklare diskutere gjør skolen,1
trist norge vokste tallet sett mørke mennesker hele tatt fyr vet halvparten portugisisk kalt pakis liksom unnskyldning skjedde,1
klungtveit innvendinger journalistiske innholdet tilbakestiller rettelser løgnemediens forvrengning amundsens forslag overraskende positivt,1
gått advokatavdelingen ropt politisk styrting,1
trenger massesøksmål ødelagt seksuelle rovdyr massesøksmål stilltiende samtykke regjeringen utsatt fgm la erna føle pungen,1
snikislamisering ikke konspirasjonsteori vårt land norges største kristne dagsavis anstendig avklaring,1
siv jensen lanserte begrepet snikislamisering utarbeidet grunnen folk sylvi per willy gjedde følge gjør absolutt god politiker måtte ikke glem legitimert rasisme andre,1
hater folk kaller japse akkurat kalle tyrker pakkis,1
ta titt hyppigheten islamsk terror all annen terror går høyt dørene vekker sovende hjernevaskede menneskene informerer fakta uintegrerbare,0
delen nasjonalsosialismen ikke fokuserer vold etablering kolonier polen boområdelæren andre antidemokratiske tiltak rett slett sosialpolitikk rettet egen stamme les festprogrammet nsdap utgaven anbefales interesserte,1
først snike islamisering snike sosialisering neste,1
nei jævla pakkis ikke rasistisk oslo mann anklaget rasistisk motivert vold bussjåfør osloby,1
ordet snikislamisering forståelse muslimer innvandrer europa felles agenda samarbeider tvers forskjellige land religioner må hemmelig muslimsk leder leder trojanske hesten,1
gjensidig respekt hovedregelen muslimer flyktet forkledde løgnene lese koranen voldelige vant,1
siv jensen voldsomt ikke hvisker kommentarer ernas øre journalister spør snikislamisering får justisminister bedt nytt korstog erna sto last sprengte listebunke berømte facebook innlegg rettet ap,1
kaller protest ekstremt uortodoks oppførsel løser problemer dialog gratis dissens søken sannhet kommunisme islam derimot løser uenigheter drap drapsforsøk derfor passer ikke slike mennesker må utvises interneres,0
ønske ordet aldri sagt poeng kontroll krysser grensen,1
slum liberalisering høres minste morsommere snikislamisering neste listen snik tabloidisering,1
klungtveit viser nok gang dårligere nivå forfølgelse bedre mennesker ham angripe ideene ikke debattanten fyren forstår åpenbart klanekultur stamm mentalitet filtreres ikke,1
lav terskel domfellelse hatkriminalitet straffet kalle jævla neger jævla pakkis,1
adil norsk pakistansk versjon vinediesel norsk pakkisversjon chris farley hei jenter,1
sprer raskt kart finn søk avslører videre burkavrri stjerneøya koran selbu,1
hat skiller tider vennlig hilsen pakkis muslim følt ekte rasisme kroppen,1
gode muslimske frisøren paris tsjetsjensk snakket fransk hvit hudfarge tsjetsjener norge vet ennå ikke groruddølen sort,1
ser sjelden ordene antikviteter pakkis utenfor donald,1
rørende verdensmesterskapet godhet ignorerer gudfedrene ødelegger løpet avskaffe norge norske normale mennesker,1
haug bøker skrevet norske pakistanere,1
opptatt skrike brun rasisme snikislamisering farten ser nekter se opptatt skrike brun rasisme,0
virker is trekke nordpolen merke pakkis,1
islam aldri ført godt verdibidrag sted verden rett lede mennesker utenfor norge lever liv,1
jensen ba solberg ikke svare spørsmål snikislamisering se video,1
voldelig venstre arrestert arendal sian helt trygge fredagens stand stemme står vanligvis ikke klokka mårran derfor helt trygt besøke informasjonsstanden arendalsukas siste dag,1
valget lettet savner allerede debatten ikke helt u f annen snikislamisering neste uke u f,1
trenger ikke million rakettforskere deporter uintegrerbare bygg mur sverige,0
kalle isekstremister kalle profeten ekstremist leser egenskapene gul ekstremisme forstå muhammed normal is derfor normale muslimer hadithen,1
norges nivå invasjonsprosessen formen underkastelse egnet gi illusjonen fravær uro stund illusjonen lurt artikkelforfatteren slutten tidslinjen norge sverige mindre deporterer uintegrerbare,0
ikke snikislamisering islamisering norge nrk nyheter,1
svarer sms ukjent person lei uttrykker media ingenting annet brunøyet pakkis burde reise raskt mulig hjem skitne landet kommer trenger ikke mørk hud norge,0
selvfølgelig forstås snikislamisering generaliserende ord snik konspiratorisk snik halm aktig hele tatt luskende ekkelt ord kommer våre øverste myndigheter utenkelig ikke klart sette foten,1
første sløret utsiden hodeskallen mentalt tilslørt riksdagen,1
hele tiden drar muslimer debatten beviser teologisk analfabeter hjernevasket koranen sier fakta står muslimer ikke lov saken må adlyde se eksempel,1
selvfølgelig svake studenter mennesker varierende evner engasjement planet falt,1
